index,relative_path,top,directory,name,inferred_category,usage,duration_sec,size_kb,channels,sample_rate,reference_count,first_references
228,Custom\GildedAxolotlAlert.ogg,Custom,Custom,GildedAxolotlAlert,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Gilded Axolotl Alert。 未找到直接字符串引用，可能由资源约定、动态路径或遗留资源使用。,0.34,8.3,2,48000,0,
229,Custom\GildedAxolotlNeuronActivation.ogg,Custom,Custom,GildedAxolotlNeuronActivation,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：激活/使用/UI；主题：Gilded Axolotl Neuron Activation。 未找到直接字符串引用，可能由资源约定、动态路径或遗留资源使用。,0.57,12.5,2,48000,0,
230,Custom\GildedAxolotlVocalStim1.ogg,Custom,Custom,GildedAxolotlVocalStim1,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：吼叫/语音；主题：Gilded Axolotl Vocal Stim。 未找到直接字符串引用，可能由资源约定、动态路径或遗留资源使用。,0.36,8.7,2,48000,0,
231,Custom\GildedAxolotlVocalStim2.ogg,Custom,Custom,GildedAxolotlVocalStim2,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：吼叫/语音；主题：Gilded Axolotl Vocal Stim。 未找到直接字符串引用，可能由资源约定、动态路径或遗留资源使用。,0.60,12.0,2,48000,0,
232,Custom\GravistarCharge.ogg,Custom,Custom,GravistarCharge,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：蓄力/充能/冷却；主题：Gravistar Charge。 首处代码上下文：CalamityPlayer.cs。,1.23,53.7,2,44100,1,CalPlayer\CalamityPlayer.cs:4347
233,Custom\GravistarSlam.ogg,Custom,Custom,GravistarSlam,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：近战挥击/撞击；主题：Gravistar Slam。 首处代码上下文：StomperSlam.cs。,2.64,139.0,2,44100,1,Projectiles\Typeless\StomperSlam.cs:45
234,Custom\GreatSandSharkRoar.ogg,Custom,Custom,GreatSandSharkRoar,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：吼叫/语音；主题：Great Sand Shark Roar。 代码标识：RoarSound。,2.67,103.4,2,44100,1,NPCs\GreatSandShark\GreatSandShark.cs:27 (RoarSound)
235,Custom\GungeonCreditMusic.ogg,Custom,Custom,GungeonCreditMusic,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：激活/使用/UI；主题：Gungeon Credit Music。 代码标识：GungeonTrack。,37.65,986.7,2,48000,1,Systems\Sound\GungeonMusicSystem.cs:12 (GungeonTrack)
236,Custom\HeavenlyGaleLightningStrike.ogg,Custom,Custom,HeavenlyGaleLightningStrike,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Heavenly Gale Lightning Strike。 代码标识：LightningStrikeSound。,2.97,53.8,2,44100,1,Items\Weapons\Ranged\HeavenlyGale.cs:36 (LightningStrikeSound)
237,Custom\HiveMindRoar.ogg,Custom,Custom,HiveMindRoar,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：吼叫/语音；主题：Hive Mind Roar。 代码标识：RoarSound。,2.28,42.0,2,44100,1,NPCs\HiveMind\HiveMind.cs:94 (RoarSound)
238,Custom\HiveMindRoarFast.ogg,Custom,Custom,HiveMindRoarFast,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：吼叫/语音；主题：Hive Mind Roar Fast。 代码标识：FastRoarSound。,1.20,24.0,2,44100,1,NPCs\HiveMind\HiveMind.cs:95 (FastRoarSound)
239,Custom\IjiDies.ogg,Custom,Custom,IjiDies,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：死亡/击杀；主题：Iji Dies。 代码标识：IjiDeathSound。,0.90,9.5,1,22050,1,CalPlayer\CalamityPlayer.cs:481 (IjiDeathSound)
240,Custom\Kickball.ogg,Custom,Custom,Kickball,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Kickball。 代码标识：b。,0.73,20.0,2,44100,1,Projectiles\Boss\SupremeCataclysmFist.cs:283 (b)
241,Custom\KingSlimeJewelSpawn.ogg,Custom,Custom,KingSlimeJewelSpawn,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：移动/生成/阶段转换；主题：King Slime Jewel Spawn。 代码标识：SpawnCrystalSound。,2.07,62.0,2,44100,1,NPCs\VanillaNPCAIOverrides\Bosses\KingSlimeAI.cs:15 (SpawnCrystalSound)
242,Custom\LeviathanEmerge.ogg,Custom,Custom,LeviathanEmerge,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：移动/生成/阶段转换；主题：Leviathan Emerge。 代码标识：EmergeSound。,5.02,87.5,2,96000,1,NPCs\Leviathan\Leviathan.cs:50 (EmergeSound)
243,Custom\LeviathanRoarCharge.ogg,Custom,Custom,LeviathanRoarCharge,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：蓄力/充能/冷却；主题：Leviathan Roar Charge。 代码标识：RoarChargeSound。,3.92,55.4,2,44100,1,NPCs\Leviathan\Leviathan.cs:49 (RoarChargeSound)
244,Custom\LeviathanRoarMeteor.ogg,Custom,Custom,LeviathanRoarMeteor,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：吼叫/语音；主题：Leviathan Roar Meteor。 代码标识：RoarMeteorSound。,3.96,52.9,2,44100,1,NPCs\Leviathan\Leviathan.cs:48 (RoarMeteorSound)
245,Custom\LeviathanRumble.ogg,Custom,Custom,LeviathanRumble,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Leviathan Rumble。 代码标识：RumbleSound。,3.97,48.4,2,96000,1,Projectiles\Boss\LeviathanSpawner.cs:21 (RumbleSound)
246,Custom\LightningStrike.ogg,Custom,Custom,LightningStrike,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Lightning Strike。 代码标识：LightningSound。,3.23,54.2,2,44100,2,Sounds\CommonCalamitySounds.cs:21 (LightningSound); Items\Weapons\Rogue\StormfrontRazor.cs:15 (LightningStrikeSound)
